,국가
0,가나
1,가봉
2,가이아나
3,감비아
4,과테말라
5,그레나다
6,그리스
7,기니
8,기니비사우
9,나미비아
10,나우루
11,나이지리아
12,남수단
13,남아프리카 공화국
14,네덜란드
15,네팔
16,노르웨이
17,뉴질랜드
18,니제르
19,니카라과
20,대한민국
21,덴마크
22,도미니카 연방
23,도미니카 공화국
24,독일
25,동티모르
26,라오스
27,라이베리아
28,라트비아
29,러시아
30,레바논
31,레소토
32,루마니아
33,룩셈부르크
34,르완다
35,리비아
36,리투아니아
37,리히텐슈타인
38,마다가스카르
39,마셜 제도
40,북마케도니아
41,말라위
42,말레이시아
43,말리
44,멕시코
45,모나코
46,모로코
47,모리셔스
48,모리타니
49,모잠비크
50,몬테네그로
51,몰도바
52,몰디브
53,몰타
54,몽골
55,미국
56,미얀마
57,바누아투
58,바레인
59,바베이도스
60,바티칸 시국
61,바하마
62,방글라데시
63,베냉
64,베네수엘라
65,베트남
66,벨기에
67,벨라루스
68,벨리즈
69,보스니아 헤르체고비나
70,보츠와나
71,볼리비아
72,부룬디
73,부르키나파소
74,부탄
75,북아일랜드
76,불가리아
77,브라질
78,브루나이
79,사모아
80,사우디아라비아
81,사하라 아랍 민주 공화국
82,산마리노
83,상투메 프린시페
84,세네갈
85,세르비아
86,세이셸
87,세인트루시아
88,세인트빈센트 그레나딘
89,세인트키츠 네비스
90,세인트헬레나
91,소말리아
92,솔로몬 제도
93,수단
94,수리남
95,스리랑카
96,스웨덴
97,스위스
98,스코틀랜드
99,스페인
100,슬로바키아
101,슬로베니아
102,시리아
103,시에라리온
104,싱가포르
105,아랍에미리트
106,아르메니아
107,아르헨티나
108,아이슬란드
109,아이티
110,아일랜드
111,아제르바이잔
112,아프가니스탄
113,안도라
114,알바니아
115,알제리
116,압하지야
117,앙골라
118,앤티가 바부다
119,앵귈라
120,에리트레아
121,에스와티니
122,에스토니아
123,에콰도르
124,에티오피아
125,엘살바도르
126,어센션섬
127,영국
128,예멘
129,오만
130,오스트레일리아
131,오스트리아
132,온두라스
133,요르단
134,우간다
135,우루과이
136,우즈베키스탄
137,우크라이나
138,웨일스
139,이라크
140,이란
141,이스라엘
142,이집트
143,이탈리아
144,인도
145,"인도네시아- 자카르타(현재), 누산타라(2024년 8월 이전 예정)"
146,일본
147,자메이카
148,잠비아
149,적도 기니
150,조선민주주의인민공화국
151,조지아
152,중앙아프리카 공화국
153,중화민국
154,중화인민공화국
155,지부티
156,짐바브웨
157,차드
158,체코
159,칠레
160,카메룬
161,카보베르데
162,카자흐스탄
163,카타르
164,캄보디아
165,캐나다
166,케냐
167,코모로
168,코소보
169,코스타리카
170,코트디부아르
171,콜롬비아
172,콩고 공화국
173,콩고 민주 공화국
174,쿠바
175,쿠웨이트
176,크로아티아
177,키르기스스탄
178,키리바시
179,키프로스
180,타지키스탄
181,탄자니아
182,태국
183,튀르키예
184,토고
185,통가
186,투르크메니스탄
187,투발루
188,튀니지
189,트리니다드 토바고
190,파나마
191,파라과이
192,파키스탄
193,파푸아뉴기니
194,팔라우
195,팔레스타인
196,페루
197,포르투갈
198,폴란드
199,푸에르토리코
200,프랑스
201,피지
202,핀란드
203,필리핀
204,헝가리
